DPH,Temperature,T0,CDD,TL_cm
7,20,10,70,0.35
12,20,10,120,0.44
16,20,10,160,0.67
20,20,10,200,0.97
24,20,10,240,1.11
7,24,10,98,0.29
12,24,10,168,0.37
16,24,10,224,0.6
20,24,10,280,0.93
24,24,10,336,1.31
7,26,10,112,0.31
12,26,10,192,0.43
16,26,10,256,0.61
20,26,10,320,1.41
24,26,10,384,2.03
7,28,10,126,0.32
12,28,10,216,0.48
16,28,10,288,0.71
20,28,10,360,1.44
24,28,10,432,1.83
7,20,15,35,0.35
12,20,15,60,0.44
16,20,15,80,0.67
20,20,15,100,0.97
24,20,15,120,1.11
7,24,15,63,0.29
12,24,15,108,0.37
16,24,15,144,0.6
20,24,15,180,0.93
24,24,15,216,1.31
7,26,15,77,0.31
12,26,15,132,0.43
16,26,15,176,0.61
20,26,15,220,1.41
24,26,15,264,2.03
7,28,15,91,0.32
12,28,15,156,0.48
16,28,15,208,0.71
20,28,15,260,1.44
24,28,15,312,1.83
7,20,20,0,0.35
12,20,20,0,0.44
16,20,20,0,0.67
20,20,20,0,0.97
24,20,20,0,1.11
7,24,20,28,0.29
12,24,20,48,0.37
16,24,20,64,0.6
20,24,20,80,0.93
24,24,20,96,1.31
7,26,20,42,0.31
12,26,20,72,0.43
16,26,20,96,0.61
20,26,20,120,1.41
24,26,20,144,2.03
7,28,20,56,0.32
12,28,20,96,0.48
16,28,20,128,0.71
20,28,20,160,1.44
24,28,20,192,1.83
