id,DPH,Temperature,O2,Weight,Stage,etapa_E,CDD_en_etapa,dph_en_etapa
1,7,20,1.023,4e-4,Preflexion,E1,53,2.94444444444444
2,7,20,1.03,5e-4,Preflexion,E1,64,3.55555555555556
3,7,20,0.969,5e-4,Preflexion,E1,74,4.11111111111111
1,16,20,3.07,0.0039,Postflexion,E2,9,0.5
2,16,20,3.106,0.0037,Postflexion,E2,6,0.333333333333333
3,16,20,3.664,0.0038,Postflexion,E2,2,0.111111111111111
1,24,20,8.084,0.0161,Postflexion,E3,103,5.72222222222222
2,24,20,7.411,0.0141,Postflexion,E3,92,5.11111111111111
3,24,20,6.989,0.0163,Postflexion,E3,106,5.88888888888889
4,7,24,0.492,4e-4,Preflexion,E1,5,0.277777777777778
5,7,24,0.373,3e-4,Preflexion,E1,39,2.16666666666667
6,7,24,0.338,3e-4,Preflexion,E1,45,2.5
4,16,24,2.984,0.002,Flexion,E2,65,3.61111111111111
5,16,24,3.277,0.0022,Postflexion,E2,1,0.0555555555555556
6,16,24,2.243,0.002,Flexion,E2,30,1.66666666666667
4,24,24,6.395,0.0184,Postflexion,E3,120,6.66666666666667
5,24,24,8.645,0.027,Postflexion,E3,144,8
6,24,24,7.52,0.0243,Postflexion,E3,130,7.22222222222222
7,7,26,0.356,3e-4,Preflexion,E1,29,1.61111111111111
8,7,26,0.282,6e-4,Preflexion,E1,48,2.66666666666667
9,7,26,0.268,5e-4,Preflexion,E1,47,2.61111111111111
7,16,26,2.646,0.0039,Postflexion,E2,36,2
8,16,26,2.301,0.0018,Flexion,E2,22,1.22222222222222
9,16,26,2.368,0.0017,Flexion,E2,42,2.33333333333333
7,24,26,9.316,0.0475,Juvenile,E3,45,2.5
8,24,26,9.079,0.0958,Juvenile,E3,95,0.1
9,24,26,8.882,0.0892,Juvenile,E3,67,3.72222222222222
10,7,28,0.295,7e-4,Preflexion,E1,52,2.88888888888889
11,7,28,0.319,6e-4,Preflexion,E1,49,2.72222222222222
12,7,28,0.134,6.5e-4,Preflexion,E1,50,2.77777777777778
10,16,28,2.405,0.0068,Flexion,E2,68,3.77777777777778
11,16,28,3.862,0.0034,Postflexion,E2,38,2.11111111111111
12,16,28,4.101,0.0051,Postflexion,E2,18,1
10,24,28,6.75,0.0534,Juvenile,E3,57,3.16666666666667
11,24,28,8.803,0.0408,Juvenile,E3,43,2.38888888888889
12,24,28,8.112,0.0471,Juvenile,E3,50,2.77777777777778
