Diet,Tank,Temperature,Flexion,DPH,Temperature_label
N,TN,20,0,7,A
N,TN,20,0,7,A
N,TN,20,0,7,A
N,TN,20,2,12,A
N,TN,20,2,12,A
N,TN,20,1,12,A
N,TN,20,6,16,A
N,TN,20,6,16,A
N,TN,20,5,16,A
N,TN,20,10,20,A
N,TN,20,10,20,A
N,TN,20,10,20,A
N,TN,20,10,24,A
N,TN,20,10,24,A
N,TN,20,10,24,A
N,T4,24,0,7,B
N,T7,24,0,7,B
N,T11,24,0,7,B
N,T4,24,1,12,B
N,T7,24,0,12,B
N,T11,24,0,12,B
N,T4,24,10,16,B
N,T7,24,6,16,B
N,T11,24,9,16,B
N,T4,24,10,20,B
N,T7,24,10,20,B
N,T11,24,10,20,B
N,T4,24,10,24,B
N,T7,24,10,24,B
N,T11,24,10,24,B
A,T3,26,0,7,C
A,T13,26,0,7,C
N,T6,26,0,7,C
N,T8,26,0,7,C
N,T10,26,0,7,C
A,T3,26,5,12,C
A,T13,26,4,12,C
N,T6,26,6,12,C
N,T8,26,7,12,C
N,T10,26,5,12,C
A,T3,26,10,16,C
A,T13,26,10,16,C
N,T6,26,10,16,C
N,T8,26,7,16,C
N,T10,26,9,16,C
A,T3,26,10,20,C
A,T13,26,10,20,C
N,T6,26,10,20,C
N,T8,26,10,20,C
N,T10,26,10,20,C
A,T3,26,10,24,C
A,T13,26,10,24,C
N,T6,26,10,24,C
N,T8,26,10,24,C
N,T10,26,10,24,C
A,T2,28,0,7,D
A,T12,28,0,7,D
N,T9,28,0,7,D
N,T15,28,0,7,D
A,T2,28,5,12,D
A,T12,28,3,12,D
N,T9,28,7,12,D
N,T15,28,5,12,D
A,T2,28,7,16,D
A,T12,28,10,16,D
N,T9,28,9,16,D
N,T15,28,9,16,D
A,T2,28,10,20,D
A,T12,28,10,20,D
N,T9,28,10,20,D
N,T15,28,10,20,D
A,T2,28,10,24,D
A,T12,28,10,24,D
N,T9,28,10,24,D
N,T15,28,10,24,D
