Temperature,Structure,N_final,BP1_mm,CI_95,CDD_sp,Stage_sp,CDD_gen,Stage_gen,dCDD,Dev_sp,Dev_gen
20,Head,1,3.6769819600479248,(3.51-3.86),72.92384570468518,Preflexion,114.83741320067169,Preflexion,-41.91356749598651,20.256623806856993,31.899281444631022
20,Tail,1,7.514066454602742,(3.46-8.91),224.98437657080208,Postflexion,319.03298322088574,Postflexion,-94.04860665008366,62.495660158556134,88.62027311691271
20,Trunk,1,4.312941543571482,(3.55-5.07),106.86594525464258,Preflexion,160.4168040249002,Flexion,-53.550858770257605,29.68498479295627,44.560223340250054
24,Tail,1,6.596339709582046,(3.09-7.00),281.25584815024047,Postflexion,281.815301654065,Postflexion,-0.5594535038245567,78.1266244861779,78.28202823724028
24,Trunk,1,4.096998714809068,(3.84-4.82),152.53686953955213,Flexion,145.74095283705162,Flexion,6.795916702500506,42.37135264987559,40.48359801029211
26,Eye,1,4.520001099634044,(4.19-4.74),203.20175728516622,Flexion,173.81453919477337,Flexion,29.38721809039285,56.44493257921284,48.2818164429926
26,Head,1,3.246862962326576,(3.19-9.62),135.6868696745988,Preflexion,79.29369653997895,Preflexion,56.39317313461984,37.690797131833,22.02602681666082
26,Tail,1,12.404228496422641,(3.20-12.94),409.2273052711041,Juvenile,462.2503063750864,Juvenile,-53.02300110398227,113.67425146419559,128.40286288196845
28,Eye,1,4.300007159704471,(3.80-8.33),191.1181036927514,Flexion,159.55866794326013,Flexion,31.559435749491257,53.08836213687539,44.32185220646115
28,Trunk,1,4.8853085330969135,(4.17-5.31),224.70119712366977,Postflexion,196.0203122396858,Flexion,28.680884883983964,62.41699920101939,54.45008673324606
